event,key,timestamp,label
keydown,h,1753192275.4418259,bot
keyup,h,1753192275.441974,bot
keydown,e,1753192275.6443899,bot
keyup,e,1753192275.6445382,bot
keydown,l,1753192275.8469663,bot
keyup,l,1753192275.847137,bot
keydown,l,1753192276.0491753,bot
keyup,l,1753192276.0493097,bot
keydown,o,1753192276.2514884,bot
keyup,o,1753192276.2515812,bot
keydown,Key.space,1753192276.4540398,bot
keyup,Key.space,1753192276.4541578,bot
keydown,w,1753192276.6563776,bot
keyup,w,1753192276.6564972,bot
keydown,o,1753192276.8589923,bot
keyup,o,1753192276.8591692,bot
keydown,r,1753192277.061723,bot
keyup,r,1753192277.0619016,bot
keydown,l,1753192277.2647674,bot
keyup,l,1753192277.264944,bot
keydown,d,1753192277.4675882,bot
keyup,d,1753192277.467804,bot
keydown,Key.space,1753192277.6703162,bot
keyup,Key.space,1753192277.6706293,bot
keydown,h,1753192277.8727553,bot
keyup,h,1753192277.8733442,bot
keydown,e,1753192278.075949,bot
keyup,e,1753192278.0760767,bot
keydown,l,1753192278.2786012,bot
keyup,l,1753192278.2787597,bot
keydown,l,1753192278.4813018,bot
keyup,l,1753192278.481515,bot
keydown,o,1753192278.6839073,bot
keyup,o,1753192278.6840851,bot
keydown,Key.space,1753192278.886652,bot
keyup,Key.space,1753192278.8871415,bot
keydown,w,1753192279.0895076,bot
keyup,w,1753192279.0896976,bot
keydown,o,1753192279.292425,bot
keyup,o,1753192279.2925847,bot
keydown,r,1753192279.4950771,bot
keyup,r,1753192279.4952307,bot
keydown,l,1753192279.6976986,bot
keyup,l,1753192279.698014,bot
keydown,d,1753192279.900469,bot
keyup,d,1753192279.9006324,bot
keydown,Key.space,1753192280.1031523,bot
keyup,Key.space,1753192280.103313,bot
keydown,h,1753192280.3059428,bot
keyup,h,1753192280.3063736,bot
keydown,e,1753192280.5087507,bot
keyup,e,1753192280.50931,bot
keydown,l,1753192280.7117598,bot
keyup,l,1753192280.711973,bot
keydown,l,1753192280.9145608,bot
keyup,l,1753192280.91471,bot
keydown,o,1753192281.1172562,bot
keyup,o,1753192281.1174326,bot
keydown,Key.space,1753192281.319976,bot
keyup,Key.space,1753192281.3201525,bot
keydown,w,1753192281.5227203,bot
keyup,w,1753192281.5228393,bot
keydown,o,1753192281.7251396,bot
keyup,o,1753192281.7252667,bot
keydown,r,1753192281.9278057,bot
keyup,r,1753192281.9279885,bot
keydown,l,1753192282.1305006,bot
keyup,l,1753192282.1307178,bot
keydown,d,1753192282.332817,bot
keyup,d,1753192282.3329365,bot
keydown,Key.space,1753192282.5353065,bot
keyup,Key.space,1753192282.5358546,bot
keydown,h,1753192282.7384388,bot
keyup,h,1753192282.7386115,bot
keydown,e,1753192282.94122,bot
keyup,e,1753192282.9413948,bot
keydown,l,1753192283.1438096,bot
keyup,l,1753192283.1440923,bot
keydown,l,1753192283.346636,bot
keyup,l,1753192283.3468509,bot
keydown,o,1753192283.5491376,bot
keyup,o,1753192283.5492635,bot
keydown,Key.space,1753192283.7517521,bot
keyup,Key.space,1753192283.7518866,bot
keydown,w,1753192283.9542842,bot
keyup,w,1753192283.9544587,bot
keydown,o,1753192284.156754,bot
keyup,o,1753192284.1568825,bot
keydown,r,1753192284.3592591,bot
keyup,r,1753192284.3593855,bot
keydown,l,1753192284.5616064,bot
keyup,l,1753192284.5617642,bot
keydown,d,1753192284.7640653,bot
keyup,d,1753192284.7642028,bot
keydown,Key.space,1753192284.966505,bot
keyup,Key.space,1753192284.9666312,bot
keydown,h,1753192285.1689715,bot
keyup,h,1753192285.1690967,bot
keydown,e,1753192285.371466,bot
keyup,e,1753192285.3715925,bot
keydown,l,1753192285.5739267,bot
keyup,l,1753192285.574052,bot
keydown,l,1753192285.7764084,bot
keyup,l,1753192285.7765355,bot
keydown,o,1753192285.9789412,bot
keyup,o,1753192285.979078,bot
keydown,Key.space,1753192286.1814892,bot
keyup,Key.space,1753192286.1816328,bot
keydown,w,1753192286.3844109,bot
keyup,w,1753192286.384544,bot
keydown,o,1753192286.5865877,bot
keyup,o,1753192286.586751,bot
keydown,r,1753192286.789217,bot
keyup,r,1753192286.7893147,bot
keydown,l,1753192286.9915116,bot
keyup,l,1753192286.9916375,bot
keydown,d,1753192287.194219,bot
